plan_name,task_id,due,objective/step_id,objective/step_due,objective/step_description,description,condition,done_if,output,verdict,result_ref,result_summary
plan_寻找工作,T8.6,2026-03-12,o5,2026-03-12,根据求职行动方案，准备简历与求职材料,持续更新个人规划，明确方向,,获得简历,,,,
plan_寻找工作,T10,2026-03-20,o6,2026-03-13,投递简历，准备面试，并进行面试，直至获得offer,参加第二场邯郸招聘会,,获得工作offer,,,,
plan_毕业答辩,T9.1,2026-03-19,o2,2026-03-26,2026年4月9日前学生必须在管理系统中提交定稿的电子版盲审版学位论文。此电子版论文用于相似度检测、盲审。（论文撰写格式、规范见附件。）,Day1：明确答辩故事线与PPT结构（scientific question、3–4个result模块、summary逻辑），列出逐页标题并选择需要展示的核心figure,,完成逐页PPT标题列表与figure选择,,,,
plan_毕业答辩,T9.5,2026-03-23,o2,2026-03-26,2026年4月9日前学生必须在管理系统中提交定稿的电子版盲审版学位论文。此电子版论文用于相似度检测、盲审。（论文撰写格式、规范见附件。）,预审，获得预审意见指导盲审论文重构,"['英文论文完成后', '预审结束，结果返回后']",管理系统中已提交定稿电子版盲审论文,,,,
plan_学位证书,T3,2026-03-26,o1,2026-03-26,完成博士毕业论文并开始投稿,完成投稿,最终审阅、修正完成,博士毕业论文完成并已开始投稿,,,,
plan_学位证书,T2.2,2026-03-27,o1,2026-03-26,完成博士毕业论文并开始投稿,根据论文生成体系缺少的证据，以及目前的时间条件，设计一次实验，补充证据，1～2周完成,,博士毕业论文完成并已开始投稿,,,,
plan_毕业答辩,T10,2026-04-06,o2,2026-03-26,2026年4月9日前学生必须在管理系统中提交定稿的电子版盲审版学位论文。此电子版论文用于相似度检测、盲审。（论文撰写格式、规范见附件。）,再进行一次彻底重构，从论文生产方法入手，补充之前缺少的一切层级，最终反映到论文整体上,"['英文论文完成后', '预审结束，结果返回后']",管理系统中已提交定稿电子版盲审论文,,,,
plan_EphB1,RUN04_A_T1_PI3Ki_changes_NAO_link_test,,s10,,因果裁决 D→E：通过限制合成/补充前体/改变膜环境等方式测试膜磷脂库变化是否驱动 NAO/CL 可及性变化,PI3K 抑制（overnight）后进行 NAO 染色（±ΔΨm 对照），测试 NAO 是否按假设方向变化,,NAO 变化方向明确（支持/不支持）并记录混杂控制,PI3Ki vs vehicle：NAO（±ΔΨm）对照图与统计,unclear,06_figures/results/20260203_NAO_a.pdf,PI3K 抑制在 WT 与 HO 背景下均可显著降低 NAO 强度，提示PI3K通路障碍确实可以降低NAO读数，且该效应与基因缺失造成的PI3K通路障碍不同。
plan_EphB1,T1,,s12,,WB检测 HO p-AKT(s473)相对于WT的变化趋势,取出细胞后定量，直接裂解保存、上样检测,,,,,,
plan_EphB1,T2,,s12,,WB检测 HO p-AKT(s473)相对于WT的变化趋势,取出细胞后重复血清饥饿、refeed实验，选择45min收样品进行检测,,,,,,
plan_EphB1,T3,,s13,,在 KO 背景下，尝试 提升 B（S473/mTORC2 输出），看 E 是否恢复,KO 背景下筛选/确定 1 个可行条件，使 p-AKT(S473) 明显上升（救援操纵的可行性验证）,,,,,,
plan_EphB1,T5,,s14,,在WT 背景下，尝试 抑制 B（S473/mTORC2 输出），看 E 是否受损,WT 背景下筛选/确定 1 个可行抑制条件，使 p-AKT(S473) 明显下降（抑制操纵的可行性验证，避免强毒性）,,,,,,
plan_EphB1,T8,,s15,,在 KO 背景下，染色检测磷脂与TG比例是否减少,KO vs WT：Bartlett 总磷脂 + BODIPY 脂滴 proxy（含细胞数/总蛋白归一化与基础 QC），得到第一批次方向结论,,,,,,
plan_EphB1,RUN01_C_T1_total_phospholipid_and_lipid_droplet_proxy,,s7,,稳固节点 D（膜磷脂库稳态表型）：多批次脂质组确认膜磷脂净下降与 TG 上升，并与转录通量轴方向一致,可选：Bartlett 总磷脂量 + BODIPY 脂滴染色作为 D 的 proxy（总磷脂↓ + 脂滴/TG proxy↑）,,proxy 读数完成且可解释（含固定成像/读板参数）,Bartlett 总磷脂结果 + BODIPY 图像/定量 + QC 记录,,,
